clarity,price,cut_Fair,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_D,color_E,color_F,color_G,color_H,color_I,color_J,carat,depth,table,x,y,z
5,1009,0,0,0,1,0,1,0,0,0,0,0,0,-0.8848745206506525,-0.6788873792809644,-1.0959906989678228,-0.9059169703063019,-0.9287841566747467,-0.9253379468930265
2,851,0,0,1,0,0,1,0,0,0,0,0,0,-0.9275587375891627,0.6389482891975043,-0.19733996852282132,-1.0132497288632805,-1.043015703612784,-0.9118899452291843
3,4681,0,0,0,0,1,0,0,1,0,0,0,0,0.22491511975061323,0.5695885171723211,0.25198539669967945,0.3194653565525352,0.35412398586013527,0.37911821449970096
5,625,0,0,1,0,0,0,0,0,0,1,0,0,-1.0342692799354383,0.5695885171723211,-0.6466653337453221,-1.2547484356164815,-1.1923954188394483,-1.1001619685229795
3,1919,0,0,1,0,0,1,0,0,0,0,0,0,-0.5860850020810809,-0.19336897510468595,-0.6466653337453221,-0.4765859360783878,-0.5070061372112235,-0.4815538919862221
6,575,0,0,1,0,0,0,0,0,0,0,1,0,-1.0129271714661832,-0.2627287471298693,-0.6466653337453221,-1.1653044701523332,-1.1308861243343509,-1.1001619685229795
4,8299,0,0,1,0,0,0,0,0,0,1,0,0,0.9505468077052869,-0.1240092030795026,-0.6466653337453221,1.0350170802657246,1.03951326748836,0.957382286044931
3,4268,0,1,0,0,0,0,0,1,0,0,0,0,0.22491511975061323,1.887424185650785,1.150636127144681,0.27474337382046105,0.30140173342719523,0.48670222781044153
5,622,0,1,0,0,0,0,1,0,0,0,0,0,-1.0556113884046934,0.8470276052730495,0.25198539669967945,-1.2994704183485564,-1.2187565450559186,-1.1136099701868225
6,11147,0,0,1,0,0,0,0,0,1,0,0,0,1.0359152415823074,0.2227896570464092,-0.6466653337453221,1.0797390629977988,1.0834484778491436,1.038070296027986
4,9569,0,1,0,0,0,0,0,0,0,0,1,0,1.5267837363751748,0.15342988502122587,-0.6466653337453221,1.3480709593902456,1.3734208662303156,1.293582327640995
2,2398,0,0,0,1,0,0,0,0,0,1,0,0,-0.15924283269597886,0.6389482891975043,0.7013107619221802,0.006411477428015146,-0.03250586531476023,0.056366174567479964
4,7127,0,0,0,0,1,0,0,1,0,0,0,0,0.4596783129124194,1.0551069213485946,1.150636127144681,0.5609640633057363,0.5210777852311134,0.6346302461127095
3,608,0,0,0,0,1,0,0,0,0,1,0,0,-1.0556113884046934,1.1938264653989614,0.25198539669967945,-1.2994704183485564,-1.3066269657774856,-1.1270579718506648
6,832,0,0,0,0,1,0,0,1,0,0,0,0,-1.0556113884046934,-0.1240092030795026,0.7013107619221802,-1.2815816252557264,-1.227543587128075,-1.180849978506035
1,18293,0,0,1,0,0,0,0,0,1,0,0,0,2.7005997021842063,0.361509201096771,-0.6466653337453221,2.179899838206828,2.0763842320028534,2.0466704208161777
2,984,0,0,0,1,0,0,0,0,0,1,0,0,-0.8208481952428872,0.014710340970859171,0.7013107619221802,-0.8164730048421536,-0.8409137359531798,-0.7774099285907586
2,15917,0,0,0,1,0,0,0,0,0,1,0,0,3.4048892816696252,0.014710340970859171,0.25198539669967945,2.546620096609838,2.454227041105592,2.3425264574207145
4,423,0,0,0,0,1,0,0,0,1,0,0,0,-1.1409798222817138,0.4308689731219543,-0.6466653337453221,-1.4694139527304386,-1.4296455547876803,-1.3287779968083036
4,2613,0,0,0,0,1,0,0,0,1,0,0,0,-0.20192704963448913,0.7083080612226827,0.25198539669967945,-0.0919768845825487,-0.04129290738691755,0.016022169575951963
3,3989,0,0,0,0,1,0,0,0,0,1,0,0,0.22491511975061323,0.2227896570464092,-0.19733996852282132,0.39102052892385425,0.44199440658170297,0.41946221949122897
2,5002,0,0,0,1,0,0,0,0,0,0,1,0,0.7798099399512459,-0.19336897510468595,-0.19733996852282132,0.9545175113479909,0.8813465101895392,0.8363502710703482
1,2555,0,0,1,0,0,0,0,1,0,0,0,0,-0.11655861575746859,-0.8176069233313262,-0.19733996852282132,0.1405774256242377,0.09929976576759018,0.016022169575951963
4,1770,0,0,0,1,0,0,0,0,1,0,0,0,-0.3726639173885299,0.7776678332478661,0.25198539669967945,-0.2798092120572609,-0.3136912116237757,-0.1991458570455285
5,776,0,0,0,1,0,0,0,0,0,1,0,0,-1.0556113884046934,-0.19336897510468595,0.25198539669967945,-1.2726372287093117,-1.2714787974888586,-1.2077459818337202
1,3284,0,0,1,0,0,1,0,0,0,0,0,0,0.13954668587359273,-1.0950460114320546,-0.6466653337453221,0.39102052892385425,0.40684623829307603,0.2446381978612759
4,1607,0,0,1,0,0,0,0,0,0,1,0,0,-0.5647428936118258,-0.40144829118023106,-0.6466653337453221,-0.41397516025348424,-0.45428388477828346,-0.454657888658537
4,605,0,0,0,0,1,0,0,0,1,0,0,0,-1.0556113884046934,0.7083080612226827,-0.19733996852282132,-1.3263036079878006,-1.2890528816331726,-1.1674019768421928
